pub_time,ticker,title,summary,sentiment_score
2023-11-12 00:40:55,AAPL,"Dividend Champion, Contender, And Challenger Highlights: Week Of November 12","A weekly summary of dividend activity for Dividend Champions, Contenders, and Challengers. Read more to see the November 12 weekly update.",0.2732
2023-11-12 03:25:22,AAPL,CII And ETV: 2 CEFs Worth Buying When They're Down,CII And ETV have put up solid results and provide monthly distributions to investors. Read more to see why I'm bullish on the funds.,0.25
2023-11-12 05:29:52,AAPL,Apple’s top iPhone supplier goes to outer space with new satellites,"International Business News: Foxconn, the world's largest producer of iPhones, has launched two prototype low-Earth orbit (LEO) satellites in partnership with SpaceX. The launch o",-0.1366
2023-11-12 07:14:01,AAPL,Apple’s top iPhone supplier goes to outer space with new satellites,"Foxconn, the world's largest iPhone producer, has launched two prototype low-Earth orbit satellites on a SpaceX rocket from Vandenberg Space Force Base in California. The launch marks a significant moment for the Taiwanese electronics manufacturer as it diversifies into new sectors, as some of its established businesses struggle. Foxconn aims to demonstrate its satellite technology to tap growing demand for communications from space.",-0.2732
2023-11-12 07:29:58,AAPL,Apple’s Top iPhone Supplier Goes To Outer Space With New Satellites,The world’s biggest producer of iPhones is going to outer space.,0.0
2023-11-12 12:43:14,AAPL,Dow Jones Futures Fall After Moody's Cuts U.S. Outlook; Boeing Jumps On Jet Order,"Dow Jones futures: Bulls want to run, but Moody's cut the U.S. debt outlook late Friday. Boeing rose on a big jet order.",0.0
2023-11-12 13:00:00,AAPL,Apple is working on generative AI. Morgan Stanley shares how it could monetize it.,Apple (AAPL) Chief Executive Tim Cook has repeatedly said the company is working on generative artificial intelligence. Read for more.,0.404211
2023-11-12 15:35:28,AAPL,"Foxconn sends satellites to space as the business of making iPhones and laptops slows, diversification effort accelerates","The world's largest iPhone maker is moving into electric vehicles, robotics, AI—and communications satellites, with a boost from SpaceX.",0.0
2023-11-12 18:50:50,AAPL,"Forget The New MacBook Pro, Apple Has Something Better",With awkward choices around the new MacBook Pro Apple has better options for consumers who are lusting for a macOS laptop.,0.179027
2023-11-12 21:00:00,AAPL,Market gyrates between fear and hope,Fed chair Jerome Powell said last week the US central bank won’t hesitate to tighten more if needed. Read more at straitstimes.com.,0.5574
2023-11-12 23:27:58,AAPL,Asian Equities Climb After Wall Street Tech Rally: Markets Wrap,"(Bloomberg) -- Shares in Asia were mostly higher following a tech-driven rally Friday on Wall Street, as investors look ahead to crucial US inflation data due Tuesday.Most Read from BloombergBiden Has Wiped Away $127 Billion in Student Loan DebtAn Opioid-Like Drink Is Masquerading As a Wholesome Alcohol AlternativeXi Jinping’s ‘Old Friends’ from Iowa Get a Dinner InvitationTrump’s 40 Wall St. Loan Transferred to Special ServicerIsrael Latest: Biden Discusses ‘Urgent’ Efforts on HostagesStocks ro",0.0
2024-02-25 11:08:41,AAPL,🔒 How Warren Buffett reminds us of Charlie Munger’s best advice: Jonathan Levin,Legendary investors like Warren Buffett and David Einhorn emphasise the importance of adapting to changing circumstances.,0.34
2024-02-25 11:33:14,AAPL,11 Cheap AI Stocks to Buy in 2024,"In this article, we discuss the 11 cheap AI stocks to buy in 2024. To skip the detailed analysis of the artificial intelligence industry, go directly to the 5 Cheap AI Stocks to Buy in 2024. The artificial intelligence (AI) revolution has hit the ground running since last year, and there seems to be no […]",0.292717
2024-02-25 12:13:27,AAPL,Ken Fisher Portfolio: 12 Biggest Positions,"In this piece, we will take a look at Ken Fisher’s latest investment portfolio and the 12 biggest positions. If you want to skip our overview of Fisher, his investment firm, and the broader U.S. stock market and macroeconomic environment, then you can take a look at Ken Fisher Portfolio: 5 Biggest Positions. Ken Fisher […]",0.067433
2024-02-25 12:21:46,AAPL,13 Best Major Stocks to Buy Right Now,"In this piece, we will take a look at the 13 best major stocks to buy right now.",0.4522
2024-02-25 14:00:00,AAPL,Tale Of Two Economies,"Eight REITs hiked their dividends this week, while nearly 70% of REITs have topped earnings expectations. Read more to see my thoughts.",0.5267
2024-02-25 15:03:00,AAPL,2 Millionaire-Maker Artificial Intelligence (AI) Stocks,These two millionaire-maker stocks are firing on all cylinders.,0.31465
2024-02-25 15:16:51,AAPL,Best Immigration Lawyers in Each of 30 Biggest Cities in the US,"In this article, we take a look at the Best Immigration Lawyers in Each of the 30 Biggest Cities in the US. You can skip our detailed analysis and go directly to Best Immigration Lawyers in Each of the 10 Biggest Cities in the US. Human movement across borders has been a part of life […]",0.1591
2024-02-25 16:00:00,AAPL,AI era: A whole new world,"In a piece published last year, we explored the rise of the AI era and its potential to reshape global stock markets and the world economy (refer to “Conversing with an AI Chatbot,” June 12, 2023).",0.7884
2024-02-25 16:25:04,AAPL,"Berkshire Hathaway Q4: A Repeat Of Q3, Minus Munger (NYSE:BRK.B)","Berkshire Hathaway's Q4 report reveals record net profit, heightened cash position, but lack of acquisitions signals caution in the economy and stock...",0.16635
2024-02-25 16:49:51,AAPL,Jim Cramer Says Do Not Buy These 11 Stocks,"In this article, we will take a detailed look at the Jim Cramer Says Do Not Buy These 11 Stocks. For a quick overview of such stocks, read our article Jim Cramer Says Do Not Buy These 5 Stocks. Jim Cramer continues to challenge the market bears after NVIDIA Corp (NASDAQ:NVDA) smashed the Wall Street estimates with another stunning […]",0.5899
2024-02-25 16:52:00,AAPL,Weekly Commentary: Overheated,"Investment-grade CDS traded down to 51 bps Thursday, the low back to December 31, 2021. High yield CDS sank to 336 bps, the low since February 1, 2022.",-0.4019
2024-02-25 21:00:00,AAPL,Tech-driven rally fuels market optimism,It is important to take a medium-term view with investments and not get distracted by short term noise Read more at straitstimes.com.,0.7506
2024-07-27 01:26:11,AAPL,15 Most Respected Countries in Asia in 2024,"Today's economic and political disruptions frequently position Asia at the forefront, as its economy has officially surpassed any other region in the world, bringing in a new era of Asian leadership.",0.489567
2024-07-27 01:26:41,AAPL,The Most Respected Country in Asia in 2024,"Today's economic and political disruptions frequently position Asia at the forefront, as its economy has officially surpassed any other region in the world, bringing in a new era of Asian leadership.",0.489567
2024-07-27 02:00:00,AAPL,"The Week Ahead: FOMC meeting in focus, US Democratic presidential candidate could be announced",The main focus this week will be the US Federal Open Market Committee (FOMC) meeting on July 30 and 31.,0.25
2024-07-27 03:50:10,AAPL,"Wall Street Week Ahead: Spooked US stock market faces tech earnings minefield, Fed meeting","Investors faced a jittery week with crucial earnings reports from top tech giants, a Federal Reserve policy meeting, and vital employment data. Following recent market turmoil, earnings from Microsoft, Apple, and Meta Platforms, along with the Fed's possible interest rate cuts and employment figures, were anticipated to influence U.S. stock trajectories significantly.",0.296
2024-07-27 03:59:43,AAPL,5 world market themes for the week ahead,"Central banks from the U.S., Japan, and Britain reassessed lending rates, while the U.S. tech earnings' impact and Venezuela's presidential elections took center stage. The Fed's rate cut expectations and Big Tech's performance were key focuses. Venezuela voted amid economic shifts and potential U.S. sanctions. Stay informed on this pivotal financial and political landscape.",-0.7269
2024-07-27 04:20:35,AAPL,USDOJ tells court to reject TikTok challenge to crackdown law By Reuters,USDOJ tells court to reject TikTok challenge to crackdown law,0.6597
2024-07-27 06:18:51,AAPL,Wall Street Exclusive - All About Earnings (NYSEARCA:SPY),Fed Fund futures have priced in a 100% probability that the Fed will cut interest rates in September. Read more on the macroeconomy here.,0.1779
2024-07-27 09:12:00,AAPL,2 AI Stocks That Could Dominate the Rest of 2024,Growth catalysts are unfolding for these tech stocks.,0.581829
2024-07-27 09:25:00,AAPL,3 ETFs That Have Soared Past the S&P 500 in the Last 10 Years,Investing in tech has been a great way to outperform the markets over the past decade.,0.370675
2024-07-27 09:56:14,AAPL,"Smart Look At The Week Ahead: US Fed, Microsoft, Apple, Starbucks And Luckin Coffee",Will they or won’t they? The Fed’s rate-setting committee will be sitting down to pore over this month’s economic data to decide if they should cut interest rates. The general,0.5178
2024-07-27 10:45:00,AAPL,Forget This All-Powerful AI Stock and Consider Buying Its Underdog Rival Instead in 2024,Intel is a better bargain and has an increasingly diverse position in AI.,0.24805
2024-07-27 12:01:00,AAPL,How Much Will Apple Pay Out in Dividends This Year?,The iPhone maker isn't a pure growth name anymore (although it may as well be).,0.134614
2024-07-27 12:10:00,AAPL,6 Stocks I'm Buying Amid A Major Market Rotation,"Read more about the latest trends in savings, spending, and investments in the American market, from credit card debt to real estate sector rotation.",0.1779
2024-07-27 12:47:17,AAPL,Is NVIDIA Corporation (NVDA) a Good Edge Computing Stock to Buy Right Now?,We recently compiled a list of the Edge Computing Market Size and 7 Best Stocks To Buy.,0.3866
2024-07-27 13:00:00,AAPL,Two Undervalued Dividend Opportunities,WEC Energy and Apple Hospitality are promising investment options worth exploring for stability and income potential.,0.7063
2024-07-27 13:00:01,AAPL,"Earnings Derail Stock Rally Over Doubts on AI, Consumer Strength",(Bloomberg) -- The latest earnings reports are fanning two worries that were already gnawing away at the US stock market: That the euphoria about artificial intelligence had run too far and that — at some point — consumers spending will start to stall. Most Read from BloombergTrump Risks Losing Voters He Needs With Loaded Attacks on HarrisParis Sticks to Olympics Opening Event Plans After Rail SabotageKamala Harris Narrows Gap With Trump in Polls From Her First WeekJD Vance’s ‘Cat Ladies’ Insult,0.6124
2024-07-27 14:30:00,AAPL,"Eyes On the FOMC, Tech Heavyweights Report, and OPEC+ Meeting",Stay informed on key market events with Seeking Alpha's Stocks to Watch newsletter.,-0.2846
2024-07-27 14:55:39,AAPL,"14 earnings, jobs and the Fed are what we're watching in the market this week","Last week was another tough one for the S&P 500 and Nasdaq despite Friday's rally, which helped blunt some of the pain.",0.571533
2024-07-27 15:18:02,AAPL,"Dow Jones Futures: Huge AI Earnings, Fed Pivot Loom; Here's What To Do","Dow Jones futures: Apple, Microsoft, Amazon and Meta report earnings, with AI in focus. The Fed is expected to signal rate cuts soon.",0.3314
2024-07-27 15:59:17,AAPL,"Tesla, AMC, Meta And Crypto Analyst Predicts Dogecoin Will Follow Historical Pattern: Benzinga Bulls And Bears",Benzinga examined the prospects for many investors’ favorite stocks over the last week. Here’s a look at some of our top stories.,-0.50925
2025-04-20 06:10:17,AAPL,What's the problem with Apple now that China produces millions of iPhones?,"Apple Inc., one of the world’s most valuable and influential technology companies, has long depended on China as the epicenter of its iPhone manufacturing. With factories like those of Foxconn…",0.117917
2025-04-20 11:27:18,AAPL,Ahead of Market: 10 things that will decide stock action on Monday,"Indian benchmark equity indices closed higher on Thursday to log their best week in more than four years and erase all their year-to-date losses, led by a rally in heavyweight financial stocks.",0.7479
2025-04-20 16:50:49,AAPL,"Apple Faces a Dilemma: Designed in the U.S., Made in China","Recently, the Trump administration announced tariffs of up to 245% on certain Chinese imports, instantly sparking widespread global discussions and placing unprecedented pressure on Apple Inc…",-0.09176
