pub_time,ticker,title,summary,sentiment_score
2023-07-16 03:43:05,NVDA,Evolve launches tech-focused Nasdaq 100 ETF on TSX,Evolve Funds has launched a new ETF in Canada providing targeted exposure to technology companies within the Nasdaq 100.,0.25
2023-07-16 06:26:13,NVDA,Top 5 things to watch in markets in the week ahead,"Investing.com -- Second-quarter earnings season kicks into gear, the U.S. and China release economic data and inflation figures out of the U.K. will likely determine the size of the Bank of England’s next rate hike. Meanwhile, oil prices look poised for another weekly gain.",0.4588
2023-07-16 10:26:13,NVDA,Top 5 things to watch in markets in the week ahead By Investing.com,Top 5 things to watch in markets in the week ahead,0.4588
2023-07-16 11:50:36,NVDA,Expect the stock market to stay 'fat and flat' this year,"Expect stocks to stay a ‘fat and flat’ range as the economy attempts to navigate a soft landing, say Goldman Sachs analysts.",0.743
2023-07-16 12:30:05,NVDA,Navigating AI Investments: Diversification and Valuation within the AI Theme,"As Q2 earnings announcements approach, it’s crucial for investors to revisit growth expectations and re-evaluate concentration risk when considering exposure to the AI theme.",0.298975
2023-07-16 13:00:00,NVDA,A $10 Trillion Stock Market Rally Faces Crucial Test in Earnings,(Bloomberg) -- A near-$10 trillion rally for global stocks this year will face a make-or-break moment as hundreds of companies report earnings over the next few weeks.Most Read from BloombergDollar’s Busted Bull Run Has Doomsayers Calling End of an EraUS Homeowners Are Tapping $9 Trillion in Real Estate WealthHistory Says It’s Time to Buy Long-Term Bonds as Peak Rates NearTop-Ranked Hedge Fund Chief Sees S&P 500 Entering ‘No Man’s Land’BlackRock’s Rieder Says US Doesn’t Have to Fall Into Recessi,0.9042
2023-07-16 17:15:24,NVDA,China to update on economy and Spain goes to the polls,"Plus, Conservatives face defeat in trio of UK by-elections",0.1779
2023-07-16 21:00:00,NVDA,"Markets head northwards on hopes of falling inflation, Fed pivot","All eyes are now on the July 26 Federal Open Market Committee meeting, and the message that will come from it. Read more at straitstimes.com.",0.3612
2023-11-05 09:40:00,NVDA,Baron Durable Advantage Fund Q3 2023 Shareholder Letter,"Baron Durable Advantage Fund lost 0.6% (Institutional Shares) during Q3 2023, which compared favorably to its Benchmark. Click here to read the full fund letter.",0.37436
2023-11-05 10:45:00,NVDA,1 Super Semiconductor Stock Down 30% You'll Wish You'd Bought on the Dip,"The development of popular artificial intelligence (AI) applications like OpenAI's ChatGPT wouldn't be possible without advanced semiconductors (chips).  Semiconductor giant Nvidia has an estimated 90% market share in the emerging industry for AI data center chips, but Advanced Micro Devices (NASDAQ: AMD) recently launched its own line of competing hardware.  AMD has struggled over the last 12 months because its core business involves selling chips for segments like gaming and personal computing -- precisely where consumers have cut spending amid challenging economic conditions.",0.5927
